co2,co2_growth_abs,share_global_co2,coal_co2,cement_co2,gas_co2,oil_co2,co2_per_capita,coal_co2_per_capita,cement_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,flaring_co2_per_capita,share_global_coal_co2,share_global_cement_co2,share_global_gas_co2,share_global_oil_co2,population,gdp
664.123,38.59,33.99,626.544,1.386,11.542,24.651,8.432,7.955,0.018,0.146,0.313,0.129,33.45,100.0,100.0,36.5,78763706.0,613998101539.2
723.182,59.059,35.83,681.541,1.656,12.861,27.125,9.002,8.484,0.021,0.16,0.338,0.129,35.33,100.0,100.0,36.17,80336086.0,683106048921.6
766.638,43.456,37.04,715.931,2.145,13.692,34.87,9.355,8.736,0.026,0.167,0.426,0.131,36.29,100.0,99.97,43.03,81949920.0,690126914932.0
896.937,130.299,39.71,840.042,2.533,14.524,39.839,10.728,10.048,0.03,0.174,0.476,0.141,38.97,100.0,99.97,46.44,83606240.0,723766355208.0
882.953,-13.984,38.68,818.27,2.732,15.162,46.789,10.352,9.593,0.032,0.178,0.548,0.142,37.73,100.0,99.98,48.58,85296008.0,714621863124.0
987.989,105.036,40.64,913.479,3.491,17.166,53.853,11.354,10.497,0.04,0.197,0.619,0.149,39.49,100.0,99.98,55.41,87019897.0,767532723804.0
1037.809,49.82,40.63,964.05,4.47,19.016,50.274,11.69,10.859,0.05,0.214,0.566,0.156,39.63,100.0,99.94,51.25,88778597.0,855994274856.0
1206.404,168.595,41.78,1115.249,4.601,19.866,66.688,13.32,12.313,0.051,0.219,0.736,0.158,40.65,100.0,99.94,55.74,90572810.0,869070562416.0
1055.659,-150.745,37.98,959.763,4.684,19.665,71.547,11.424,10.387,0.051,0.213,0.774,0.16,36.55,97.69,99.94,55.47,92403252.0,799355551585.5
1169.267,113.608,40.45,1066.609,5.914,23.508,73.236,12.417,11.327,0.063,0.25,0.778,0.162,39.12,98.18,99.94,54.42,94167861.0,890110047879.0
1276.14,106.872,42.09,1160.396,6.912,24.901,83.931,13.312,12.105,0.072,0.26,0.876,0.166,40.63,98.18,99.94,58.25,95863718.0,893975420730.9
1263.459,-12.681,40.92,1143.128,7.073,25.087,88.17,12.96,11.726,0.073,0.257,0.904,0.03,39.4,98.05,97.55,57.71,97487822.0,917451792296.2
1348.625,85.166,41.71,1224.395,7.414,27.495,89.321,13.617,12.363,0.075,0.278,0.902,0.031,40.27,97.77,97.1,56.89,99037086.0,954787401171.3
1448.384,99.759,41.4,1304.578,8.271,28.458,107.077,14.411,12.98,0.082,0.283,1.065,0.027,39.79,97.7,96.15,58.9,100508338.0,986598461256.4
1323.621,-124.762,41.7,1172.136,7.923,28.946,114.617,12.976,11.491,0.078,0.284,1.124,0.022,39.73,98.28,96.05,61.68,102001413.0,905134495860.0
1372.983,49.362,43.86,1213.597,7.715,30.741,120.93,13.263,11.724,0.074,0.297,1.168,0.021,41.95,98.06,96.47,61.27,103516631.0,925041170368.8
1524.475,151.492,45.12,1345.443,8.217,36.834,133.981,14.511,12.807,0.078,0.351,1.275,0.024,43.16,97.94,95.98,62.34,105054323.0,1046397554243.6
1676.786,152.311,47.45,1481.645,8.318,38.882,147.941,15.728,13.897,0.078,0.365,1.388,0.022,45.65,98.35,95.98,61.89,106614820.0,1014196370726.0
