Date,AverageTemperature,AverageTemperatureUncertainty,AverageAnomaly
1821-01-01,-4.464,3.658,-0.937333333333334
1821-02-01,-1.6840000000000002,3.891,-0.12213333333333343
1821-03-01,1.953,2.7,-0.5794666666666666
1821-04-01,6.2810000000000015,1.991,-1.9229333333333338
1821-05-01,13.429,2.212,-0.38243333333332963
1821-06-01,18.779,2.524,0.032766666666663724
1821-07-01,19.775,2.257,-1.7021999999999942
1821-08-01,20.527,2.149,0.023566666666670955
1821-09-01,14.48,1.597,-1.8755666666666642
1821-10-01,8.802999999999999,1.919,-1.220133333333333
1821-11-01,2.184,2.8360000000000003,-0.6272333333333338
1821-12-01,-4.013999999999999,2.659,-1.892
1822-01-01,-3.755,3.49,-0.2283333333333335
1822-02-01,-0.841,2.861,0.7208666666666668
1822-03-01,5.106,2.387,2.5735333333333332
1822-04-01,7.528,1.926,-0.6759333333333357
1822-05-01,13.527,2.014,-0.28443333333333065
1822-06-01,18.64,1.71,-0.10623333333333562
1822-07-01,21.539,1.577,0.06180000000000874
1822-08-01,20.211,2.069,-0.29243333333333155
1822-09-01,15.117,1.954,-1.2385666666666637
1822-10-01,7.702000000000001,1.963,-2.3211333333333313
1822-11-01,1.5119999999999998,2.2230000000000003,-1.2992333333333341
1822-12-01,-5.644,2.705,-3.5220000000000007
1823-01-01,-3.994,2.937,-0.4673333333333338
1823-02-01,-4.542,3.052,-2.980133333333333
1823-03-01,2.172,2.36,-0.3604666666666665
1823-04-01,7.855,2.603,-0.34893333333333487
1823-05-01,13.135,2.04,-0.6764333333333301
1823-06-01,19.397,1.902,0.6507666666666623
1823-07-01,21.453000000000003,1.5830000000000002,-0.024199999999989785
1823-08-01,20.076,1.686,-0.42743333333332956
1823-09-01,14.138,1.922,-2.2175666666666647
1823-10-01,7.79,1.899,-2.233133333333332
1823-11-01,1.158,3.428,-1.653233333333334
1823-12-01,-3.706,2.518,-1.5840000000000005
1824-01-01,-2.7780000000000005,2.815,0.7486666666666659
1824-02-01,-2.8920000000000003,3.08,-1.3301333333333336
1824-03-01,1.779,2.4930000000000003,-0.7534666666666667
1824-04-01,7.206,2.124,-0.9979333333333349
1824-05-01,13.308,2.029,-0.5034333333333301
1824-06-01,18.61,2.314,-0.13623333333333676
1824-07-01,21.696,2.985,0.21880000000000877
1824-08-01,20.063,2.062,-0.44043333333333123
1824-09-01,15.616,2.106,-0.7395666666666649
1824-10-01,7.966,2.043,-2.057133333333332
1824-11-01,2.241,2.543,-0.5702333333333338
1824-12-01,-0.7879999999999999,3.508,1.3339999999999996
1825-01-01,-2.982,3.357,0.5446666666666662
1825-02-01,-0.8140000000000001,2.529,0.7478666666666667
1825-03-01,3.479,2.795,0.9465333333333334
1825-04-01,9.148,2.542,0.9440666666666644
1825-05-01,13.561,1.815,-0.25043333333332995
1825-06-01,19.291,1.4780000000000002,0.5447666666666642
1825-07-01,21.659,2.335,0.18180000000000618
1825-08-01,20.304,2.273,-0.19943333333333157
1825-09-01,15.717,1.756,-0.6385666666666641
1825-10-01,8.367,2.282,-1.6561333333333312
1825-11-01,2.843,2.3680000000000003,0.031766666666666055
1825-12-01,-2.975,2.537,-0.8530000000000006
1826-01-01,-4.033,2.737,-0.506333333333334
1826-02-01,-2.8960000000000004,2.713,-1.3341333333333336
1826-03-01,2.506,2.419,-0.02646666666666686
1826-04-01,7.631,2.405,-0.5729333333333351
1826-05-01,15.149,2.024,1.3375666666666692
1826-06-01,18.736,2.415,-0.010233333333335537
1826-07-01,21.247,1.68,-0.23019999999999285
1826-08-01,19.518,1.837,-0.9854333333333294
1826-09-01,14.648,2.115,-1.707566666666665
1826-10-01,8.75,2.516,-1.2731333333333321
1826-11-01,3.073,2.017,0.26176666666666604
1826-12-01,-1.3809999999999998,3.0210000000000004,0.7409999999999997
1827-01-01,-2.641,3.232,0.8856666666666664
1827-02-01,0.1980000000000001,2.577,1.759866666666667
1827-03-01,3.415,2.679,0.8825333333333334
1827-04-01,8.883000000000003,2.909,0.6790666666666674
1827-05-01,14.424,2.562,0.6125666666666696
1827-06-01,18.98,2.205,0.23376666666666424
1827-07-01,21.709,1.739,0.2318000000000069
1827-08-01,20.468,1.725,-0.0354333333333301
1827-09-01,15.255999999999998,1.604,-1.0995666666666661
1827-10-01,8.908,1.926,-1.1151333333333326
1827-11-01,2.777,2.205,-0.03423333333333378
1827-12-01,-3.153,3.472,-1.0310000000000006
1828-01-01,-4.3820000000000014,2.567,-0.855333333333335
1828-02-01,-1.644,2.255,-0.08213333333333317
1828-03-01,3.02,2.271,0.4875333333333334
1828-04-01,7.510000000000002,2.399,-0.6939333333333337
1828-05-01,14.023,2.594,0.2115666666666698
1828-06-01,20.228,2.03,1.4817666666666653
1828-07-01,21.908,1.38,0.4308000000000085
1828-08-01,20.612,1.66,0.10856666666666825
1828-09-01,14.216,1.3330000000000002,-2.1395666666666653
1828-10-01,8.968,1.565,-1.0551333333333321
1828-11-01,3.0700000000000003,1.769,0.25876666666666637
1828-12-01,-1.347,2.84,0.7749999999999995
1829-01-01,-3.462,2.043,0.0646666666666662
1829-02-01,-4.2810000000000015,1.967,-2.7191333333333345
1829-03-01,1.813,1.621,-0.7194666666666667
1829-04-01,7.411,1.658,-0.7929333333333357
1829-05-01,14.96,2.877,1.148566666666671
1829-06-01,19.282,1.774,0.5357666666666638
1829-07-01,21.577,1.514,0.09980000000000899
1829-08-01,20.675,1.545,0.17156666666667064
1829-09-01,14.646,1.952,-1.7095666666666638
1829-10-01,9.41,1.6669999999999998,-0.613133333333332
1829-11-01,0.8500000000000001,2.824,-1.9612333333333338
1829-12-01,-2.21,3.667,-0.08800000000000052
1830-01-01,-3.184,3.48,0.34266666666666623
1830-02-01,-0.3959999999999999,2.47,1.1658666666666668
1830-03-01,2.605,2.231,0.07253333333333334
1830-04-01,8.823,1.941,0.6190666666666651
1830-05-01,12.994000000000002,1.868,-0.8174333333333283
1830-06-01,18.292,2.463,-0.4542333333333346
1830-07-01,22.816,1.658,1.3388000000000062
1830-08-01,20.417,2.014,-0.08643333333332848
1830-09-01,14.802,2.378,-1.553566666666665
1830-10-01,9.557,2.7430000000000003,-0.46613333333333173
1830-11-01,5.51,2.486,2.698766666666666
1830-12-01,-1.6549999999999998,3.123,0.46699999999999964
1831-01-01,-4.921,3.076,-1.3943333333333339
1831-02-01,-3.167,4.591,-1.605133333333333
1831-03-01,2.504,3.563,-0.02846666666666664
1831-04-01,7.258999999999999,1.933,-0.9449333333333367
1831-05-01,13.387,2.842,-0.42443333333332944
1831-06-01,18.701,2.126,-0.04523333333333568
1831-07-01,20.806,1.654,-0.6711999999999918
1831-08-01,19.725,1.822,-0.7784333333333286
